,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,
451,Germán Pezzella,ar ARG,DF,Betis,30,1991,23,22,1988,22.1,1,0,1,0,0,5,1,0.05,0,0.05,0.05,0.05,1.2,1.2,0,1.2,0.05,0,0.05,0.05,0.05,Matches,
452,Pablo Piatti,ar ARG,MFFW,Elche,32,1989,10,3,312,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.06,0.15,0.22,0.06,0.22,Matches,
453,Cristiano Piccini,it ITA,DF,Valencia,28,1992,6,3,322,3.6,1,0,1,0,0,1,0,0.28,0,0.28,0.28,0.28,0.1,0.1,0.2,0.3,0.03,0.05,0.08,0.03,0.08,Matches,
454,Tomás Pina Isla,es ESP,MF,Alavés,33,1987,29,16,1444,16,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,0.3,0.7,0.02,0.02,0.04,0.02,0.04,Matches,
455,Orbelín Pineda,mx MEX,MFFW,Celta Vigo,25,1996,7,0,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0.47,0.11,0.58,0.47,0.58,Matches,
456,Yeremi Pino,es ESP,MFFW,Villarreal,18,2002,31,21,1678,18.6,6,4,6,0,0,2,0,0.32,0.21,0.54,0.32,0.54,6.2,6.2,3.2,9.4,0.33,0.17,0.5,0.33,0.5,Matches,
457,Gerard Piqué,es ESP,DF,Barcelona,34,1987,27,25,2092,23.2,1,0,1,0,0,10,1,0.04,0,0.04,0.04,0.04,2.1,2.1,0.1,2.1,0.09,0,0.09,0.09,0.09,Matches,
458,Ezequiel Ponce,ar ARG,FW,Elche,24,1997,13,5,667,7.4,1,0,1,0,0,1,1,0.13,0,0.13,0.13,0.13,2,2,0.3,2.3,0.28,0.04,0.32,0.28,0.32,Matches,
459,Pere Pons,es ESP,MF,Alavés,28,1993,27,17,1366,15.2,1,0,1,0,0,2,0,0.07,0,0.07,0.07,0.07,2,2,0.6,2.6,0.13,0.04,0.17,0.13,0.17,Matches,
460,Portu,es ESP,FWMF,Real Sociedad,29,1992,37,17,1590,17.7,1,2,0,1,1,5,0,0.06,0.11,0.17,0,0.11,3.1,2.3,2,4.3,0.17,0.11,0.28,0.13,0.24,Matches,
