,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
20,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,36-209,1985,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.91,0.00,1.91,1.91,1.91,Matches
21,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,26-357,1995,12,12,1080,12.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.03,0.00,0.03,0.03,0.03,Matches
22,Dani Alves\c9e99e49,br BRA,DF,Barcelona,38-255,1983,1,1,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,0.0,0.0,0.3,0.3,0.00,0.25,0.25,0.00,0.25,Matches
23,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,20-057,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.0,0.1,0.04,0.05,0.08,0.04,0.08,Matches
24,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,25-184,1996,12,6,600,6.7,0,1,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,0.8,0.8,0.2,1.0,0.13,0.03,0.16,0.13,0.16,Matches
25,Florin Andone\dc008610,ro ROU,FW,Cádiz,28-280,1993,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.02,0.15,0.13,0.15,Matches
26,José Ángel\3024e383,es ESP,DF,Osasuna,32-133,1989,13,6,556,6.2,1,1,1,0,0,0,1,0.16,0.16,0.32,0.16,0.32,0.2,0.2,1.0,1.2,0.02,0.16,0.19,0.02,0.19,Matches
27,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,21-193,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Mauro Arambarri\58afe001,uy URU,MF,Getafe,26-108,1995,16,16,1344,14.9,0,2,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,0.8,0.8,1.1,1.9,0.05,0.07,0.13,0.05,0.13,Matches
29,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,30-140,1991,17,13,1241,13.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
30,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,22-315,1999,15,10,1026,11.4,2,0,2,0,0,2,0,0.18,0.00,0.18,0.18,0.18,0.6,0.6,0.4,0.9,0.05,0.03,0.08,0.05,0.08,Matches
31,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,22-198,1999,2,2,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
